BROKERTITLE,TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,ADDRESS,STATE,MAIN_ADDRESS,ADMINISTRATIVE_AREA_LEVEL_2,LOCALITY,SUBLOCALITY,STREET_NAME,LONG_NAME,FORMATTED_ADDRESS,LATITUDE,LONGITUDE
"Brokered by Nest Seekers International, Long Island",Co-op for sale,325000,1,1.0,2184.207862,35-45 81st St Unit E1,"Queens, NY 11372","35-45 81st St Unit E1Queens, NY 11372",New York,Queens County,Queens,Jackson Heights,35-45,"35-45 81st St e1, Jackson Heights, NY 11372, USA",40.7505078,-73.8851355
Brokered by Ashford Homes,Multi-family home for sale,1299888,10,6.0,3156.0,310-312 Hillside Ave,"Staten Island, NY 10304","310-312 Hillside AveStaten Island, NY 10304",New York,Richmond County,Staten Island,Clifton,310,"310 Hillside Ave #312, Staten Island, NY 10304, USA",40.6155667,-74.0869554
Brokered by RJM Realty Empire Inc.,Multi-family home for sale,1300000,10,8.0,5040.0,366 Union Ave Unit 4,"Staten Island, NY 10303","366 Union Ave Unit 4Staten Island, NY 10303",New York,Richmond County,Staten Island,Mariners Harbor,366,"366 Union Ave #4, Staten Island, NY 10303, USA",40.6274381,-74.1581613
Brokered by H P Greenfield Real Estate Ltd,Co-op for sale,279000,1,1.0,750.0,1801 Ocean Ave Apt 4A,"Brooklyn, NY 11230","1801 Ocean Ave Apt 4ABrooklyn, NY 11230",New York,Kings County,Brooklyn,Midwood,1801,"1801 Ocean Ave #4a, Brooklyn, NY 11230, USA",40.6179165,-73.9546305
Brokered by Ashford Homes LLC,Condo for sale,528000,1,1.0,602.0,1238 63rd St Unit 432,"Brooklyn, NY 11219","1238 63rd St Unit 432Brooklyn, NY 11219",New York,Kings County,Brooklyn,Dyker Heights,1238,"1238 63rd St #432, Brooklyn, NY 11219, USA",40.6275896,-74.0016198
Brokered by Ashford Homes,Multi-family home for sale,1299888,11,4.0,3156.0,310-312 Hillside Ave,"Staten Island, NY 10304","310-312 Hillside AveStaten Island, NY 10304",New York,Richmond County,Staten Island,Clifton,310,"310 Hillside Ave #312, Staten Island, NY 10304, USA",40.6155667,-74.0869554
Brokered by E Realty International Corp,Co-op for sale,275000,1,1.0,2184.207862,44-55 Kissena Blvd Unit 5F,"Flushing, NY 11355","44-55 Kissena Blvd Unit 5FFlushing, NY 11355",New York,Queens County,Queens,Flushing,44-55,"44-55 Kissena Blvd #5f, Flushing, NY 11355, USA",40.7528774,-73.8211834
Brokered by Corcoran Park Slope,Condo for sale,1165000,1,1.0,815.0,338 Berry St Apt 4E,"Brooklyn, NY 11249","338 Berry St Apt 4EBrooklyn, NY 11249",New York,Kings County,Brooklyn,Williamsburg,338,"338 Berry St #4e, Brooklyn, NY 11249, USA",40.711969,-73.9649468
Brokered by Brown Harris Stevens,Co-op for sale,199900,1,1.0,2184.207862,828 Gerard Ave Apt 5F,"Bronx, NY 10451","828 Gerard Ave Apt 5FBronx, NY 10451",New York,Bronx County,The Bronx,Concourse,828,"828 Gerard Ave #5f, Bronx, NY 10451, USA",40.8260352,-73.9256625
Brokered by Winzone Realty Inc,Co-op for sale,369000,2,1.0,2184.207862,43-40 Union St Unit 3D,"Flushing, NY 11355","43-40 Union St Unit 3DFlushing, NY 11355",New York,Queens County,Queens,Flushing,43-40,"43-40 Union St #3d, Flushing, NY 11355, USA",40.753455,-73.8209077
Brokered by Brown Harris Stevens,Co-op for sale,4250000,3,2.0,2400.0,123 Prince St Unit 1,"Manhattan, NY 10012","123 Prince St Unit 1Manhattan, NY 10012",New York,New York County,New York,Manhattan,123,"123 Prince St Apt 1f, New York, NY 10012, USA",40.725464,-73.9999212
Brokered by American Homes Group,Condo for sale,329000,2,1.0,837.0,55 Austin Pl Apt 4L,"Staten Island, NY 10304","55 Austin Pl Apt 4LStaten Island, NY 10304",New York,Richmond County,Staten Island,Mid Island,55,"55 Austin Pl APT 4L, Staten Island, NY 10304, USA",40.6315346,-74.0856344
Brokered by VYLLA HOME,Co-op for sale,220500,2,1.0,900.0,350 Richmond Ter Apt 3M,"Staten Island, NY 10301","350 Richmond Ter Apt 3MStaten Island, NY 10301",New York,Richmond County,Staten Island,Mid Island,350,"350 Richmond Terrace Apt 3n, Staten Island, NY 10301, USA",40.6481488,-74.0847983
Brokered by Douglas Elliman  -111 Fifth Ave,Condo for sale,1650000,2,2.0,1267.0,473 Hicks St Apt 4,"Brooklyn, NY 11231","473 Hicks St Apt 4Brooklyn, NY 11231",New York,Kings County,Brooklyn,Cobble Hill,473,"473 Hicks St APT 4, Brooklyn, NY 11231, USA",40.6866098,-73.9997131
Brokered by DEGI - Douglas Elliman Real Estate,For sale,3150000,3,2.0,1952.0,184 Lincoln Pl Unit 2,"Brooklyn, NY 11217","184 Lincoln Pl Unit 2Brooklyn, NY 11217",New York,Kings County,Brooklyn,Park Slope,184,"184 Lincoln Pl #2, Brooklyn, NY 11217, USA",40.6754035,-73.9742051
Brokered by Brown Harris Stevens - 445 Park Avenue,Co-op for sale,849000,1,1.0,2184.207862,263 W End Ave Apt 14C,"Manhattan, NY 10023","263 W End Ave Apt 14CManhattan, NY 10023",New York,New York County,New York,Manhattan,263,"263 West End Ave #14c, New York, NY 10023, USA",40.7802357,-73.9846328
Brokered by Piastro Realty LLC,Co-op for sale,559500,1,1.0,800.0,50 Brighton 1 Rd Unit 5H,"Brooklyn, NY 11235","50 Brighton 1 Rd Unit 5HBrooklyn, NY 11235",New York,Kings County,Brooklyn,Brighton Beach,50,"50 Brighton 1st Rd #5h, Brooklyn, NY 11235, USA",40.5751942,-73.9669983
Brokered by Douglas Elliman - 575 Madison Ave,Co-op for sale,750000,1,1.0,835.0,333 E 66th St Apt 8E,"New York, NY 10065","333 E 66th St Apt 8ENew York, NY 10065",New York,New York County,New York,Manhattan,333,"333 E 66th St #8e, New York, NY 10065, USA",40.7643711,-73.9593578
Brokered by Douglas Elliman - 575 Madison Ave,Condo for sale,1900000,2,2.0,1029.0,150 Rivington St Apt 3G,"New York, NY 10002","150 Rivington St Apt 3GNew York, NY 10002",New York,New York County,New York,Manhattan,150,"150 Rivington St #3g, New York, NY 10002, USA",40.7193408,-73.9856438
Brokered by Corcoran Williamsburg Bedford,Condo for sale,1250000,2,2.0,1201.0,1105 Cortelyou Rd # 301,"Brooklyn, NY 11218","1105 Cortelyou Rd # 301Brooklyn, NY 11218",New York,Kings County,Brooklyn,Flatbush,1105,"1105 Cortelyou Rd #301, Brooklyn, NY 11218, USA",40.6400234,-73.9676099
Brokered by COMPASS,Condo for sale,1395000,2,2.0,1182.0,737 Bergen St Apt 1B,"Brooklyn, NY 11238","737 Bergen St Apt 1BBrooklyn, NY 11238",New York,Kings County,Brooklyn,Prospect Heights,737,"737 Bergen St #1b, Brooklyn, NY 11238, USA",40.6787789,-73.9643728
Brokered by Monticello Real Estate Group,Co-op for sale,198000,1,1.0,2184.207862,83-55 Woodhaven Blvd Unit 1A,"Woodhaven, NY 11421","83-55 Woodhaven Blvd Unit 1AWoodhaven, NY 11421",New York,Queens County,Queens,Woodhaven,83-55,"83-55 Woodhaven Blvd #1a, Woodhaven, NY 11421, USA",40.700309,-73.8535466
Brokered by Serhant,Condo for sale,1175000,2,2.0,1115.0,924 Lafayette Ave Apt 2,"Brooklyn, NY 11221","924 Lafayette Ave Apt 2Brooklyn, NY 11221",New York,Kings County,Brooklyn,Bedford-Stuyvesant,924,"924 Lafayette Ave #2, Brooklyn, NY 11221, USA",40.6915139,-73.935444
Brokered by Corcoran Chelsea/Flatiron,Condo for sale,31000000,3,4.0,4492.0,111 W 57th St # 50,"New York, NY 10019","111 W 57th St # 50New York, NY 10019",New York,New York County,New York,Manhattan,111,"111 W 57th St #50, New York, NY 10019, USA",40.764953,-73.977568
Brokered by Douglas Elliman - 575 Madison Ave,Condo for sale,1650000,2,2.0,1065.0,200 E 94th St Apt 414,"New York, NY 10128","200 E 94th St Apt 414New York, NY 10128",New York,New York County,New York,Manhattan,200,"200 E 94th St APT 414, New York, NY 10128, USA",40.7833546,-73.9499982
Brokered by Douglas Elliman - 575 Madison Ave,Condo for sale,1650000,2,2.0,1065.0,200 E 94th St Apt 414,"New York, NY 10128","200 E 94th St Apt 414New York, NY 10128",New York,New York County,New York,Manhattan,200,"200 E 94th St APT 414, New York, NY 10128, USA",40.7833546,-73.9499982
Brokered by Brown Harris Stevens - 1926 Broadway,Condo for sale,5750000,3,2.0,2223.0,250 E 21st St Unit 12B,"Manhattan, NY 10010","250 E 21st St Unit 12BManhattan, NY 10010",New York,New York County,New York,Manhattan,250,"250 E 21st St #12b, New York, NY 10010, USA",40.736608,-73.9822819
Brokered by Charles Rutenberg Realty Inc,Pending,950000,6,2.3738608579684373,3384.0,254-06 Craft Ave Unit 2,"Jamaica, NY 11422","254-06 Craft Ave Unit 2Jamaica, NY 11422",New York,Queens County,Queens,Jamaica,254-06,"254-06 Craft Ave #2, Jamaica, NY 11422, USA",40.6499031,-73.7354706
Brokered by Engel & Volkers Brownstone Brooklyn,Condo for sale,215000,1,1.0,625.0,195 Prince St Unit 1LL,"New York, NY 10012","195 Prince St Unit 1LLNew York, NY 10012",New York,New York County,New York,Manhattan,195,"195 Prince St #1r, New York, NY 10012, USA",40.7267732,-74.002538
Brokered by STROFFOLINO REALTY LLC,Co-op for sale,539000,2,2.0,1100.0,9425 Shore Rd Apt 4F,"Brooklyn, NY 11209","9425 Shore Rd Apt 4FBrooklyn, NY 11209",New York,Kings County,Brooklyn,Fort Hamilton,9425,"9425 Shore Rd #4f, Brooklyn, NY 11209, USA",40.6170731,-74.0383836
Brokered by Douglas Elliman - 3544 Johnson Ave,Co-op for sale,1295000,4,2.0,1995.0,2501 Palisade Ave Apt H2,"Bronx, NY 10463","2501 Palisade Ave Apt H2Bronx, NY 10463",New York,Bronx County,The Bronx,Spuyten Duyvil,2501,"2501 Palisade Ave #2, Bronx, NY 10463, USA",40.8809873,-73.9224337
Brokered by Brown Harris Stevens,Co-op for sale,280000,1,1.0,1000.0,8015 6th Ave Apt A1,"Brooklyn, NY 11209","8015 6th Ave Apt A1Brooklyn, NY 11209",New York,Kings County,Brooklyn,Bay Ridge,8015,"8015 6th Ave Apt A1, Brooklyn, NY 11209, USA",40.6241766,-74.0216837
Brokered by Avenues - Headquarters,Condo for sale,325000,2,1.0,979.0,122 E 102nd St Apt 5B,"New York, NY 10029","122 E 102nd St Apt 5BNew York, NY 10029",New York,New York County,New York,Manhattan,122,"122 E 102nd St #5b, New York, NY 10029, USA",40.7897507,-73.9487257
Brokered by Corcoran Chelsea/Flatiron,Pending,299999,3,1.0,2184.207862,215 W 75th St Apt 4D,"New York, NY 10023","215 W 75th St Apt 4DNew York, NY 10023",New York,New York County,New York,Manhattan,215,"215 W 75th St #4d, New York, NY 10023, USA",40.7810583,-73.9808407
Brokered by Salmon Realty Group,Condo for sale,189000,2,2.0,966.0,20 Cliff St Apt 6D,"Staten Island, NY 10305","20 Cliff St Apt 6DStaten Island, NY 10305",New York,Richmond County,Staten Island,Shore Acres,20,"20 Cliff St #6b, Staten Island, NY 10305, USA",40.6109595,-74.060351
Brokered by Midas Realty,Condo for sale,759000,3,2.0,1200.0,206-04 Emily Rd Unit 37M,"Bayside, NY 11360","206-04 Emily Rd Unit 37MBayside, NY 11360",New York,Queens County,Queens,Bayside,206-4,"206-4 Emily Rd #37, Bayside, NY 11360, USA",40.7881763,-73.7877051
Brokered by COMPASS,Condo for sale,499000,1,1.0,630.0,157 E 72nd St Apt 8I,"Manhattan, NY 10021","157 E 72nd St Apt 8IManhattan, NY 10021",New York,New York County,New York,Manhattan,157,"157 E 72nd St #8i, New York, NY 10021, USA",40.7702318,-73.9610161
Brokered by Charles H. Greenthal Property,Co-op for sale,1399000,3,4.0,1993.0,269-10 Grand Central Pkwy Unit 21W,"Floral Park, NY 11005","269-10 Grand Central Pkwy Unit 21WFloral Park, NY 11005",New York,Queens County,Queens,Glen Oaks,26910,"26910 Grand Central Pkwy Apt 21n, Queens, NY 11005, USA",40.7566899,-73.72075
Brokered by Douglas Elliman - Roslyn,Condo for sale,649000,3,2.0,1182.0,163-04 71st Ave Unit 122,"Fresh Meadows, NY 11365","163-04 71st Ave Unit 122Fresh Meadows, NY 11365",New York,Queens County,Queens,Fresh Meadows,163-4,"163-4 71st Ave #122, Fresh Meadows, NY 11365, USA",40.7302938,-73.8059248
Brokered by Douglas Elliman - 575 Madison Ave,Condo for sale,500000,4,3.0,1794.0,251 W 89th St Apt 6E,"New York, NY 10024","251 W 89th St Apt 6ENew York, NY 10024",New York,New York County,New York,Manhattan,251,"251 W 89th St #6e, New York, NY 10024, USA",40.7905714,-73.9753392
Brokered by RE MAX Boutique Realty,Co-op for sale,90000,1,1.0,450.0,1383 Plimpton Ave Apt 1C,"Bronx, NY 10452","1383 Plimpton Ave Apt 1CBronx, NY 10452",New York,Bronx County,The Bronx,Highbridge,1383,"1383 Plimpton Ave #1c, Bronx, NY 10452, USA",40.8423705,-73.9234444
Brokered by Homefinders of SI Inc.,Condo for sale,250000,3,1.0,2184.207862,3105 Avenue V Apt 1F,"Brooklyn, NY 11229","3105 Avenue V Apt 1FBrooklyn, NY 11229",New York,Kings County,Brooklyn,Sheepshead Bay,3105,"3105 Ave V #1f, Brooklyn, NY 11229, USA",40.5997081,-73.9344974
Brokered by Charles H. Greenthal Property,Co-op for sale,449000,2,2.0,1549.0,26910 Grand Central Pkwy Apt 22L,"Floral Park, NY 11005","26910 Grand Central Pkwy Apt 22LFloral Park, NY 11005",New York,Queens County,Queens,Glen Oaks,26910,"26910 Grand Central Pkwy #22l, Queens, NY 11005, USA",40.7577991,-73.7159564
Brokered by Corcoran East Side,Co-op for sale,550000,1,1.0,2184.207862,609 Columbus Ave Apt 10I,"New York, NY 10024","609 Columbus Ave Apt 10INew York, NY 10024",New York,New York County,New York,Manhattan,609,"609 Columbus Ave #10j, New York, NY 10024, USA",40.7887084,-73.9700091
Brokered by J Milo Real Estate,Condo for sale,198000,1,1.0,750.0,118-18 Union Tpke Unit 7D,"Queens, NY 11415","118-18 Union Tpke Unit 7DQueens, NY 11415",New York,Queens County,Queens,Kew Gardens,11818,"11818 Union Tpke Apt 7l, Kew Gardens, NY 11415, USA",40.7127599,-73.83433
Brokered by All American Realty Management,For sale,65000,3,1.0,230.0,1287266 45 Madison St Unit 1,"Manhattan, NY 10038","1287266 45 Madison St Unit 1Manhattan, NY 10038",New York,New York County,New York,Manhattan,45,"45 Madison St #1, New York, NY 10038, USA",40.7120703,-73.9983258
Brokered by COMPASS,Co-op for sale,1895000,2,2.0,2184.207862,905 Union St Apt 1,"Brooklyn, NY 11215","905 Union St Apt 1Brooklyn, NY 11215",New York,Kings County,Brooklyn,Park Slope,905,"905 Union St Apartment 1, Brooklyn, NY 11215, USA",40.673976,-73.973535
Brokered by COMPASS,Co-op for sale,2375000,1,2.0,2184.207862,10 Bleecker St Apt 5D,"Manhattan, NY 10012","10 Bleecker St Apt 5DManhattan, NY 10012",New York,New York County,New York,Manhattan,10,"10 Bleecker St #5b, New York, NY 10012, USA",40.7252187,-73.9929764
Brokered by COMPASS,Condo for sale,2250000,1,1.0,2184.207862,302 W 12th St Apt 7F,"Manhattan, NY 10014","302 W 12th St Apt 7FManhattan, NY 10014",New York,New York County,New York,Manhattan,302,"302 W 12th St APT 7A, New York, NY 10014, USA",40.737308,-74.0046666
Brokered by ROCKAWAY PROPERTIES,Condo for sale,725000,2,2.0,792.0,627 Wilson Ave Apt 3,"Brooklyn, NY 11207","627 Wilson Ave Apt 3Brooklyn, NY 11207",New York,Kings County,Brooklyn,Bushwick,627,"627 Wilson Ave #3, Brooklyn, NY 11207, USA",40.6898164,-73.9062474
Brokered by Sotheby's International Realty - Downtown Manhattan,Co-op for sale,269000,1,1.0,2184.207862,4901 Henry Hudson Pkwy W Apt 5F,"Bronx, NY 10471","4901 Henry Hudson Pkwy W Apt 5FBronx, NY 10471",New York,Bronx County,The Bronx,Hudson Hill,4901,"4901 Henry Hudson Pkwy W #5f, Bronx, NY 10471, USA",40.8968048,-73.9087471
Brokered by COMPASS,Co-op for sale,695000,2,2.0,2184.207862,575 Park Ave Unit 1101,"Manhattan, NY 10065","575 Park Ave Unit 1101Manhattan, NY 10065",New York,New York County,New York,Manhattan,575,"575 Park Ave # 1101, New York, NY 10065, USA",40.7651716,-73.9678719
Brokered by Byson Real Estate Company - Byson Real Estate Company,Co-op for sale,1525000,2,2.0,2184.207862,67 Riverside Dr Apt 1C,"New York, NY 10024","67 Riverside Dr Apt 1CNew York, NY 10024",New York,New York County,New York,Manhattan,67,"67 Riverside Dr #1c, New York, NY 10024, USA",40.784623,-73.9826586
Brokered by COMPASS,Co-op for sale,695000,2,2.0,2184.207862,575 Park Ave Unit 1101,"Manhattan, NY 10065","575 Park Ave Unit 1101Manhattan, NY 10065",New York,New York County,New York,Manhattan,575,"575 Park Ave # 1101, New York, NY 10065, USA",40.7651716,-73.9678719
Brokered by Sotheby's International Realty - Downtown Manhattan,Co-op for sale,269000,1,1.0,2184.207862,4901 Henry Hudson Pkwy W Apt 5F,"Bronx, NY 10471","4901 Henry Hudson Pkwy W Apt 5FBronx, NY 10471",New York,Bronx County,The Bronx,Hudson Hill,4901,"4901 Henry Hudson Pkwy W #5f, Bronx, NY 10471, USA",40.8968048,-73.9087471
Brokered by Queens Quality Management,Co-op for sale,358000,2,1.0,2184.207862,212-79 16 Ave Unit 183,"Bayside, NY 11360","212-79 16 Ave Unit 183Bayside, NY 11360",New York,Queens County,Queens,Bayside,212- 79,"212- 79 16th Ave #183, Bayside, NY 11360, USA",40.7855174,-73.7797613
Brokered by COMPASS,Co-op for sale,975000,3,1.0,2184.207862,360 W 22nd St Apt 9J,"Manhattan, NY 10011","360 W 22nd St Apt 9JManhattan, NY 10011",New York,New York County,New York,Manhattan,360,"360 W 22nd St #9j, New York, NY 10011, USA",40.7455051,-74.0016003
Brokered by Pride Estates,Co-op for sale,498000,2,1.0,975.0,138 71st St Apt E10,"Brooklyn, NY 11209","138 71st St Apt E10Brooklyn, NY 11209",New York,Kings County,Brooklyn,Bay Ridge,138,"138 71st St Apt E10, Brooklyn, NY 11209, USA",40.6351164,-74.0311609
Brokered by Laffey Real Estate,Co-op for sale,385000,1,2.0,900.0,1805 215th St Apt 4S,"Bayside, NY 11360","1805 215th St Apt 4SBayside, NY 11360",New York,Queens County,Queens,Bayside,1805,"1805 215th St Apt 4n, Bayside, NY 11360, USA",40.7839299,-73.77643
Brokered by COMPASS,Co-op for sale,399000,1,1.0,2184.207862,34-41 85th St Unit 3U,"Jackson Heights, NY 11372","34-41 85th St Unit 3UJackson Heights, NY 11372",New York,Queens County,Queens,Flushing,34-41,"34-41 85th St #3a, Flushing, NY 11372, USA",40.7531191,-73.8818757
Brokered by Daniel Gale Sotheby's International Realty,Co-op for sale,1088000,5,2.0,2184.207862,20 Continental Ave Unit 5EF,"Forest Hills, NY 11375","20 Continental Ave Unit 5EFForest Hills, NY 11375",New York,Queens County,Queens,Flushing,20,"20 Continental Ave #5f, Flushing, NY 11375, USA",40.7186003,-73.8453488
Brokered by NextHome Residential,Co-op for sale,265000,1,1.0,700.0,23-45 Bell Blvd Unit 5K,"Bayside, NY 11360","23-45 Bell Blvd Unit 5KBayside, NY 11360",New York,Queens County,Queens,Bayside,2345,"2345 Bell Blvd Apt 5f, Bayside, NY 11360, USA",40.7824499,-73.7765099
"Brokered by MAXIMILLION REALTY, INC.",Co-op for sale,288000,1,1.0,845.0,3901 Nostrand Ave Apt 4C,"Brooklyn, NY 11235","3901 Nostrand Ave Apt 4CBrooklyn, NY 11235",New York,Kings County,Brooklyn,Sheepshead Bay,3901,"3901 Nostrand Ave. #4c, Brooklyn, NY 11235, USA",40.5894827,-73.9395372
Brokered by COMPASS,Co-op for sale,999995,3,2.0,1750.0,205 E 63rd St Unit 11EF,"Manhattan, NY 10065","205 E 63rd St Unit 11EFManhattan, NY 10065",New York,New York County,New York,Manhattan,205,"205 E 63rd St #11e, New York, NY 10065, USA",40.7640501,-73.964336
Brokered by Corcoran East Side,Co-op for sale,1495000,2,2.0,1350.0,200 E 74th St Apt 6B,"New York, NY 10021","200 E 74th St Apt 6BNew York, NY 10021",New York,New York County,New York,Manhattan,200,"200 E 74th St #6b, New York, NY 10021, USA",40.7708195,-73.9595235
Brokered by Corcoran Park Avenue South,Co-op for sale,925000,1,1.0,1000.0,235 E 73rd St # 4B,"New York, NY 10021","235 E 73rd St # 4BNew York, NY 10021",New York,New York County,New York,Manhattan,235,"235 E 73rd St #4b, New York, NY 10021, USA",40.7699425,-73.9583558
Brokered by Realty Connect USA LLC,Co-op for sale,349000,2,1.0,2184.207862,84-70 129 St N Unit 5U,"Kew Gardens, NY 11415","84-70 129 St N Unit 5UKew Gardens, NY 11415",New York,Queens County,Queens,Jamaica,84-70,"84-70 129th St #5u, Jamaica, NY 11415, USA",40.7050355,-73.8241699
Brokered by AI Realty Brokerage LLC,Condo for sale,2000000,4,4.0,3000.0,444 E 57th St Apt 2D,"New York, NY 10022","444 E 57th St Apt 2DNew York, NY 10022",New York,New York County,New York,Manhattan,444,"444 E 57th St #2d, New York, NY 10022, USA",40.7573479,-73.9614914
Brokered by Platinum Properties of Long Island,Co-op for sale,329000,1,1.0,820.0,111-39 76th Rd Unit E6,"Forest Hills, NY 11375","111-39 76th Rd Unit E6Forest Hills, NY 11375",New York,Queens County,Queens,Forest Hills,11139,"11139 76th Rd Apt E6, Forest Hills, NY 11375, USA",40.7157399,-73.83672
Brokered by Sotheby's International Realty - Downtown Manhattan,Condo for sale,800000,2,2.0,1257.0,309 E 108th St Apt 5F,"New York, NY 10029","309 E 108th St Apt 5FNew York, NY 10029",New York,New York County,New York,Manhattan,309,"309 E 108th St #5f, New York, NY 10029, USA",40.7917785,-73.9406204
Brokered by Coldwell Banker Advantage,Condo for sale,430000,2,2.0,1248.0,527 Willow Rd E Unit 2,"Staten Island, NY 10314","527 Willow Rd E Unit 2Staten Island, NY 10314",New York,Richmond County,Staten Island,Mid Island,527,"527 Willow Rd E #2, Staten Island, NY 10314, USA",40.6123868,-74.1511288
Brokered by Keller Williams Realty Liberty,Co-op for sale,439500,3,2.0,1400.0,83-80 118th St Unit 3O,"Kew Gardens, NY 11415","83-80 118th St Unit 3OKew Gardens, NY 11415",New York,Queens County,Queens,Kew Gardens,83-80,"83-80 118th St #3a, Queens, NY 11415, USA",40.7047878,-73.8344551
Brokered by Prime Properties Long Island,Co-op for sale,299000,1,1.0,2184.207862,118-18 Union Tpke Unit 17G,"Kew Gardens, NY 11415","118-18 Union Tpke Unit 17GKew Gardens, NY 11415",New York,Queens County,Queens,Kew Gardens,118-18,"118-18 Union Tpke #17g, Kew Gardens, NY 11415, USA",40.7123992,-73.8339305
Brokered by Oxford Property Group,Co-op for sale,425000,3,1.0,2184.207862,504 W 135th St Apt 1B,"New York, NY 10031","504 W 135th St Apt 1BNew York, NY 10031",New York,New York County,New York,Manhattan,504,"504 W 135th St #1b, New York, NY 10031, USA",40.8189893,-73.953108
